43.62821578979492,
27.985811233520508,
22.864103317260742,
27.14371681213379,
9.937763214111328,
12.040853500366211,
6.933689117431641,
7.200479507446289,
7.441997528076172,
10.521411895751953,
8.347034454345703,
7.554769515991211,
5.68079948425293,
5.450725555419922,
5.72657585144043,
6.58416748046875,
4.595518112182617,
5.892038345336914,
5.027532577514648,
4.546642303466797,
5.215883255004883,
6.445646286010742,
5.3958892822265625,
6.336688995361328,
5.198955535888672,
7.283687591552734,
6.484746932983398,
5.51915168762207,
5.270719528198242,
4.6405792236328125,
5.290508270263672,
8.779525756835938,
5.942106246948242,
5.7125091552734375,
5.154848098754883,
5.174160003662109,
4.697322845458984,
10.626077651977539,
5.695581436157227,
5.661964416503906,
5.631208419799805,
5.104303359985352,
10.329723358154297,
5.572319030761719,
6.311655044555664,
5.579948425292969,
5.976200103759766,
9.610891342163086,
5.81812858581543,
5.0029754638671875,
4.861354827880859,
5.681276321411133,
22.48859405517578,
5.04302978515625,
10.758638381958008,
8.604288101196289,
6.907224655151367,
13.750791549682617,
7.209062576293945,
5.584955215454102,
4.960298538208008,
15.051603317260742,
9.341716766357422,
6.502389907836914,
5.526065826416016,
16.187667846679688,
5.943059921264648,
7.094383239746094,
13.993501663208008,
7.621288299560547,
5.452156066894531,
10.783910751342773,
5.5065155029296875,
6.956338882446289,
8.675813674926758,
5.94329833984375,
7.642984390258789,
5.422353744506836,
7.32874870300293,
5.4645538330078125,
7.769107818603516,
6.529808044433594,
5.369901657104492,
6.214141845703125,
4.53639030456543,
8.392810821533203,
5.864143371582031,
6.535768508911133,
6.030797958374023,
5.514383316040039,
5.594015121459961,
5.099773406982422,
4.9381256103515625,
4.963874816894531,
8.254528045654297,
8.112430572509766,
7.921457290649414,
5.797386169433594,
6.888866424560547,
5.92803955078125,
11.361360549926758,
5.794286727905273,
5.585908889770508,
5.603790283203125,
7.110834121704102,
5.160331726074219,
5.428075790405273,
4.804849624633789,
4.584074020385742,
6.467103958129883,
11.314868927001953,
6.636381149291992,
6.087303161621094,
13.426780700683594,
5.310535430908203,
5.677700042724609,
4.611492156982422,
5.126953125,
4.815101623535156,
6.264448165893555,
4.983425140380859,
5.251407623291016,
11.094331741333008,
5.825519561767578,
6.6394805908203125,
5.012035369873047,
8.871316909790039,
6.455421447753906,
5.352497100830078,
6.489038467407227,
5.052328109741211,
5.40924072265625,
5.756616592407227,
8.424520492553711,
6.1206817626953125,
4.993200302124023,
5.256175994873047,
8.460044860839844,
4.882097244262695,
6.938457489013672,
9.294271469116211,
5.18035888671875,
8.910894393920898,
6.872653961181641,
